feature_set,implementation,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,training_time,train_pred_time,test_pred_time
images,Our Implementation,0.6985,0.688,0.7226521634744687,0.7203141824171541,0.6985,0.688,0.6974292663328606,0.6894329834273245,0.5250060558319092,0.0004100799560546875,0.00017380714416503906
images,Scikit-learn,0.9565,0.904,0.956259860308929,0.9041611426845082,0.9565,0.904,0.9563288312598107,0.9040005302640404,0.2823789119720459,0.0009729862213134766,0.00048804283142089844
metadata,Our Implementation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.509727954864502,0.0004668235778808594,0.00019693374633789062
metadata,Scikit-learn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04323911666870117,0.00202178955078125,0.0009241104125976562
text,Our Implementation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8557920455932617,0.0005900859832763672,0.0001678466796875
text,Scikit-learn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.058125972747802734,0.002499103546142578,0.0005350112915039062
fused,Our Implementation,0.985,0.984,0.986046511627907,0.9846647932557206,0.985,0.984,0.9850159451941547,0.9839855870283255,1.062147855758667,0.008260011672973633,0.0003349781036376953
fused,Scikit-learn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07363510131835938,0.0062410831451416016,0.002235889434814453
