Feature Set,Train Accuracy,Test Accuracy,Train F1 (Macro),Test F1 (Macro),Train AUC,Test AUC
Images Only,0.6985,0.688,0.6974292663328606,0.6894329834273246,0.8709240625,0.860835
Categorical/Numerical Attributes,0.749,0.74,0.754251890958125,0.7456726105854582,0.9531175,0.9484600000000001
Text Descriptions,0.9765,0.982,0.9764496242744245,0.9819634760389789,0.998098125,0.9978400000000001
"Fused Features (All) [Meta:0.5, Text:0.5, Img:1.0]",0.9315,0.924,0.9319909320378926,0.92452137471884,0.993610625,0.9915299999999998
